,open,close,high,low,value,volume,begin,end
0,3.627,3.68,3.74,3.624,79918313.1,22000500.0,2015-07-01,2015-07-01 23:59:59
1,3.8,3.6455,3.8,3.624,100804318.65,27706400.0,2015-07-02,2015-07-02 23:59:59
2,3.725,3.637,3.725,3.6315,139177504.2,38211300.0,2015-07-03,2015-07-03 23:59:59
3,3.6405,3.67,3.67,3.64,30698859.0,8407400.0,2015-07-06,2015-07-06 23:59:59
4,3.8,3.631,3.8,3.631,110812432.55,30483800.0,2015-07-07,2015-07-07 23:59:59
5,3.6205,3.649,3.66,3.6205,147089032.2,40402100.0,2015-07-08,2015-07-08 23:59:59
6,3.625,3.65,3.65,3.625,126282420.6,34680400.0,2015-07-09,2015-07-09 23:59:59
7,3.8,3.65,3.8,3.632,97864492.05,26880300.0,2015-07-10,2015-07-10 23:59:59
8,3.698,3.6545,3.698,3.642,131260192.65,35973700.0,2015-07-13,2015-07-13 23:59:59
9,3.645,3.6525,3.6585,3.6415,194466710.75,53277400.0,2015-07-14,2015-07-14 23:59:59
10,3.626,3.656,3.656,3.62,144939571.1,39678800.0,2015-07-15,2015-07-15 23:59:59
11,3.6395,3.676,3.683,3.639,108635389.55,29569700.0,2015-07-16,2015-07-16 23:59:59
12,3.671,3.669,3.6745,3.669,7212509.85,1965400.0,2015-07-17,2015-07-17 23:59:59
13,3.6625,3.6625,3.664,3.656,78332795.1,21393200.0,2015-07-20,2015-07-20 23:59:59
14,3.671,3.677,3.677,3.66,88618283.55,24115300.0,2015-07-21,2015-07-21 23:59:59
15,3.673,3.67,3.6745,3.67,74724663.25,20346500.0,2015-07-22,2015-07-22 23:59:59
16,3.673,3.677,3.677,3.673,67605498.5,18397000.0,2015-07-23,2015-07-23 23:59:59
17,3.6685,3.67,3.6765,3.6685,27052075.0,7360700.0,2015-07-24,2015-07-24 23:59:59
18,3.621,3.6745,3.687,3.621,16960457.65,4616200.0,2015-07-27,2015-07-27 23:59:59
19,3.6655,3.6605,3.6655,3.6605,68463381.7,18695500.0,2015-07-28,2015-07-28 23:59:59
20,3.6635,3.655,3.6645,3.655,34770241.05,9490200.0,2015-07-29,2015-07-29 23:59:59
21,3.6655,3.672,3.672,3.655,31433982.25,8562700.0,2015-07-30,2015-07-30 23:59:59
22,3.675,3.6745,3.675,3.67,59153952.2,16101500.0,2015-07-31,2015-07-31 23:59:59
23,3.67,3.6595,3.67,3.6565,2102309.55,574500.0,2015-08-03,2015-08-03 23:59:59
24,3.647,3.639,3.6695,3.639,648878.15,178300.0,2015-08-04,2015-08-04 23:59:59
25,3.635,3.635,3.6555,3.635,504396.4,138000.0,2015-08-05,2015-08-05 23:59:59
26,3.635,3.63,3.6355,3.63,159212.55,43800.0,2015-08-06,2015-08-06 23:59:59
27,3.6645,3.655,3.69,3.655,14312376.6,3886600.0,2015-08-07,2015-08-07 23:59:59
28,3.655,3.655,3.67,3.655,73832.55,20200.0,2015-08-10,2015-08-10 23:59:59
29,3.656,3.66,3.6915,3.656,59481758.65,16117700.0,2015-08-11,2015-08-11 23:59:59
30,3.6795,3.68,3.6875,3.665,48597331.45,13190600.0,2015-08-12,2015-08-12 23:59:59
31,3.6895,3.6905,3.6905,3.6895,18457748.95,5002100.0,2015-08-13,2015-08-13 23:59:59
32,3.68,3.675,3.6905,3.675,23544101.8,6384100.0,2015-08-14,2015-08-14 23:59:59
33,3.689,3.691,3.691,3.689,22144310.0,6001100.0,2015-08-17,2015-08-17 23:59:59
34,3.689,3.665,3.691,3.665,29880351.75,8098200.0,2015-08-18,2015-08-18 23:59:59
35,3.66,3.66,3.66,3.66,732.0,200.0,2015-08-19,2015-08-19 23:59:59
36,3.665,3.665,3.665,3.665,199742.5,54500.0,2015-08-20,2015-08-20 23:59:59
37,3.6555,3.65,3.6555,3.65,693506.1,190000.0,2015-08-21,2015-08-21 23:59:59
38,3.65,3.6205,3.6545,3.62,3681301.2,1015200.0,2015-08-24,2015-08-24 23:59:59
39,3.6385,3.62,3.6385,3.62,2091409.25,577300.0,2015-08-25,2015-08-25 23:59:59
40,3.6255,3.625,3.65,3.625,40975.05,11300.0,2015-08-26,2015-08-26 23:59:59
41,3.6265,3.645,3.645,3.6265,32762551.05,9000700.0,2015-08-27,2015-08-27 23:59:59
42,3.661,3.65,3.661,3.625,32766563.35,9001800.0,2015-08-28,2015-08-28 23:59:59
43,3.644,3.6455,3.6465,3.6435,24422863.4,6700300.0,2015-08-31,2015-08-31 23:59:59
44,3.645,3.63,3.6455,3.63,707287.45,194100.0,2015-09-01,2015-09-01 23:59:59
45,3.6395,3.64,3.64,3.6395,105923.95,29100.0,2015-09-02,2015-09-02 23:59:59
46,3.65,3.65,3.65,3.65,511000.0,140000.0,2015-09-03,2015-09-03 23:59:59
47,3.65,3.652,3.652,3.635,8259814.4,2262400.0,2015-09-04,2015-09-04 23:59:59
48,3.636,3.635,3.636,3.635,100326.15,27600.0,2015-09-07,2015-09-07 23:59:59
49,3.6595,3.6355,3.66,3.6355,2554.65,700.0,2015-09-08,2015-09-08 23:59:59
50,3.6575,3.66,3.66,3.64,32965639.2,9009100.0,2015-09-09,2015-09-09 23:59:59
51,3.636,3.635,3.636,3.635,100690.3,27700.0,2015-09-10,2015-09-10 23:59:59
52,3.635,3.635,3.66,3.635,728459.0,200400.0,2015-09-11,2015-09-11 23:59:59
53,3.617,3.65,3.65,3.617,514328.75,141200.0,2015-09-14,2015-09-14 23:59:59
54,3.65,3.68,3.68,3.65,14994552.15,4088200.0,2015-09-15,2015-09-15 23:59:59
55,3.66,3.66,3.66,3.66,50874.0,13900.0,2015-09-16,2015-09-16 23:59:59
56,3.635,3.635,3.635,3.635,100326.0,27600.0,2015-09-17,2015-09-17 23:59:59
57,3.67,3.67,3.67,3.67,367.0,100.0,2015-09-18,2015-09-18 23:59:59
58,3.6605,3.66,3.6605,3.66,37332.05,10200.0,2015-09-21,2015-09-21 23:59:59
59,3.65,3.6455,3.65,3.645,50715.65,13900.0,2015-09-22,2015-09-22 23:59:59
60,3.6595,3.66,3.66,3.6595,101015.8,27600.0,2015-09-23,2015-09-23 23:59:59
61,3.69,3.66,3.69,3.66,105450.05,28700.0,2015-09-24,2015-09-24 23:59:59
62,3.665,3.6655,3.6655,3.665,110316.55,30100.0,2015-09-25,2015-09-25 23:59:59
63,3.7065,3.68,3.707,3.68,85745.9,23200.0,2015-09-28,2015-09-28 23:59:59
64,3.69,3.69,3.69,3.69,738.0,200.0,2015-09-29,2015-09-29 23:59:59
65,3.7,3.704,3.704,3.7,2222.0,600.0,2015-09-30,2015-09-30 23:59:59
66,3.7,3.7,3.7,3.7,1480.0,400.0,2015-10-01,2015-10-01 23:59:59
67,3.7315,3.732,3.732,3.71,300744.2,80600.0,2015-10-02,2015-10-02 23:59:59
68,3.737,3.7295,3.737,3.71,313466.0,84200.0,2015-10-05,2015-10-05 23:59:59
69,3.735,3.7355,3.74,3.735,247489.6,66200.0,2015-10-06,2015-10-06 23:59:59
70,3.716,3.715,3.716,3.715,383773.1,103300.0,2015-10-07,2015-10-07 23:59:59
71,3.715,3.73,3.744,3.715,290500.95,78100.0,2015-10-08,2015-10-08 23:59:59
72,3.7305,3.748,3.748,3.73,88047.8,23600.0,2015-10-09,2015-10-09 23:59:59
73,3.7325,3.732,3.764,3.732,319840.45,85700.0,2015-10-12,2015-10-12 23:59:59
74,3.7475,3.748,3.748,3.745,397662.45,106100.0,2015-10-13,2015-10-13 23:59:59
75,3.7325,3.74,3.74,3.732,1010418.0,270700.0,2015-10-14,2015-10-14 23:59:59
76,3.7305,3.756,3.756,3.73,266421.2,71000.0,2015-10-15,2015-10-15 23:59:59
77,3.759,3.75,3.759,3.74,3284455.5,877400.0,2015-10-16,2015-10-16 23:59:59
78,3.73,3.755,3.755,3.72,2289058.4,610700.0,2015-10-19,2015-10-19 23:59:59
79,3.775,3.796,3.796,3.775,2953294.1,781100.0,2015-10-20,2015-10-20 23:59:59
80,3.78,3.79,3.79,3.78,2998550.5,791700.0,2015-10-21,2015-10-21 23:59:59
81,3.794,3.796,3.796,3.78,2172225.4,573200.0,2015-10-22,2015-10-22 23:59:59
82,3.784,3.796,3.796,3.784,3732438.8,985900.0,2015-10-23,2015-10-23 23:59:59
83,3.795,3.795,3.795,3.79,2901971.0,764900.0,2015-10-26,2015-10-26 23:59:59
84,3.79,3.76,3.79,3.75,11723565.5,3118900.0,2015-10-27,2015-10-27 23:59:59
85,3.766,3.77,3.77,3.766,2384489.4,632500.0,2015-10-28,2015-10-28 23:59:59
86,3.755,3.73,3.76,3.724,35528405.0,9511300.0,2015-10-29,2015-10-29 23:59:59
87,3.755,3.756,3.756,3.755,1005381.2,267700.0,2015-10-30,2015-10-30 23:59:59
88,3.75,3.77,3.77,3.75,1300360.5,345100.0,2015-11-02,2015-11-02 23:59:59
89,3.77,3.77,3.77,3.77,3074812.0,815600.0,2015-11-03,2015-11-03 23:59:59
90,3.775,3.77,3.775,3.745,2699689.5,716100.0,2015-11-05,2015-11-05 23:59:59
91,3.765,3.765,3.765,3.765,2030841.0,539400.0,2015-11-06,2015-11-06 23:59:59
92,3.75,3.75,3.75,3.75,2625000.0,700000.0,2015-11-09,2015-11-09 23:59:59
93,3.73,3.745,3.745,3.73,2622619.0,700300.0,2015-11-10,2015-11-10 23:59:59
94,3.73,3.74,3.74,3.73,1871865.0,500500.0,2015-11-11,2015-11-11 23:59:59
95,3.755,3.755,3.755,3.755,1850464.0,492800.0,2015-11-12,2015-11-12 23:59:59
96,3.76,3.78,4.895,3.76,24478913.0,6419800.0,2015-11-13,2015-11-13 23:59:59
97,3.78,3.775,3.8,3.775,1618120.0,428000.0,2015-11-16,2015-11-16 23:59:59
98,3.78,3.81,3.81,3.775,877746.0,232200.0,2015-11-17,2015-11-17 23:59:59
99,3.805,3.795,3.805,3.775,1637679.0,433200.0,2015-11-18,2015-11-18 23:59:59
100,3.775,3.78,3.81,3.75,24530551.0,6523100.0,2015-11-19,2015-11-19 23:59:59
101,3.8,3.795,3.8,3.77,1390166.5,368300.0,2015-11-20,2015-11-20 23:59:59
102,3.77,3.775,3.775,3.765,1905497.5,506100.0,2015-11-23,2015-11-23 23:59:59
103,3.775,3.78,3.785,3.765,3268974.0,865400.0,2015-11-24,2015-11-24 23:59:59
104,3.77,3.795,3.795,3.77,5609092.5,1480000.0,2015-11-25,2015-11-25 23:59:59
105,3.795,3.85,3.95,3.775,13571822.0,3553100.0,2015-11-26,2015-11-26 23:59:59
106,3.89,3.91,3.95,3.85,21088717.5,5360800.0,2015-11-27,2015-11-27 23:59:59
107,3.885,3.83,3.98,3.83,25907806.5,6675800.0,2015-11-30,2015-11-30 23:59:59
108,3.875,3.85,3.875,3.82,4954261.0,1291800.0,2015-12-01,2015-12-01 23:59:59
109,3.84,3.84,3.845,3.815,2562126.5,670300.0,2015-12-02,2015-12-02 23:59:59
110,3.82,3.805,3.84,3.805,7996154.0,2089500.0,2015-12-03,2015-12-03 23:59:59
111,3.815,3.815,3.83,3.815,2409938.5,631700.0,2015-12-04,2015-12-04 23:59:59
112,3.815,3.84,3.84,3.815,2803020.0,732400.0,2015-12-07,2015-12-07 23:59:59
113,3.78,3.84,3.84,3.75,3861232.5,1007200.0,2015-12-08,2015-12-08 23:59:59
114,3.835,3.835,3.86,3.835,3652938.0,950400.0,2015-12-09,2015-12-09 23:59:59
115,3.82,3.825,3.84,3.815,2007138.5,525000.0,2015-12-10,2015-12-10 23:59:59
116,3.835,3.825,3.84,3.82,12358424.0,3235100.0,2015-12-11,2015-12-11 23:59:59
117,3.84,3.825,3.84,3.81,10520880.0,2757600.0,2015-12-14,2015-12-14 23:59:59
118,3.825,3.84,3.84,3.81,16791626.5,4398600.0,2015-12-15,2015-12-15 23:59:59
119,3.835,3.85,3.85,3.82,19058578.0,4972200.0,2015-12-16,2015-12-16 23:59:59
120,3.815,3.68,3.815,3.67,1198255.5,323200.0,2015-12-17,2015-12-17 23:59:59
121,3.68,3.685,3.685,3.665,82561.0,22500.0,2015-12-18,2015-12-18 23:59:59
122,3.695,3.67,3.695,3.67,380193.5,102900.0,2015-12-21,2015-12-21 23:59:59
123,3.68,3.675,3.695,3.675,1111744.0,302100.0,2015-12-22,2015-12-22 23:59:59
124,3.69,3.67,3.69,3.67,474520.0,128600.0,2015-12-23,2015-12-23 23:59:59
125,3.68,3.685,3.69,3.67,12731337.0,3459600.0,2015-12-24,2015-12-24 23:59:59
126,3.68,3.75,3.75,3.68,6141348.5,1646300.0,2015-12-25,2015-12-25 23:59:59
127,3.69,3.73,3.765,3.675,6274672.0,1676700.0,2015-12-28,2015-12-28 23:59:59
128,3.68,3.77,3.77,3.68,16791409.0,4467400.0,2015-12-29,2015-12-29 23:59:59
129,3.77,3.8,3.8,3.77,6035354.5,1591700.0,2015-12-30,2015-12-30 23:59:59
130,3.78,3.93,3.95,3.78,23004486.5,5916200.0,2016-01-04,2016-01-04 23:59:59
131,3.865,3.865,3.895,3.865,447439.5,115100.0,2016-01-05,2016-01-05 23:59:59
132,3.885,3.885,3.885,3.87,5764074.5,1484000.0,2016-01-06,2016-01-06 23:59:59
133,3.785,3.875,3.9,3.785,7297002.0,1878700.0,2016-01-11,2016-01-11 23:59:59
134,3.85,3.82,3.86,3.82,3881388.5,1008200.0,2016-01-12,2016-01-12 23:59:59
135,3.82,3.77,3.82,3.75,24202342.5,6452900.0,2016-01-13,2016-01-13 23:59:59
136,3.765,3.75,3.77,3.75,3349125.0,890400.0,2016-01-14,2016-01-14 23:59:59
137,3.77,3.74,3.77,3.74,4810296.0,1282500.0,2016-01-15,2016-01-15 23:59:59
138,3.73,3.74,3.75,3.725,2142112.5,574600.0,2016-01-18,2016-01-18 23:59:59
139,3.755,3.73,3.765,3.73,1667394.5,446300.0,2016-01-19,2016-01-19 23:59:59
140,3.725,3.735,3.755,3.725,1514575.5,405700.0,2016-01-20,2016-01-20 23:59:59
141,3.745,3.74,3.76,3.74,1918950.0,512700.0,2016-01-21,2016-01-21 23:59:59
142,3.75,3.74,3.765,3.74,939127.5,250500.0,2016-01-22,2016-01-22 23:59:59
143,3.75,3.75,3.76,3.75,2263502.0,603200.0,2016-01-25,2016-01-25 23:59:59
144,3.765,3.745,3.765,3.74,1997872.5,533100.0,2016-01-26,2016-01-26 23:59:59
145,3.74,3.74,3.75,3.72,49544415.0,13278000.0,2016-01-27,2016-01-27 23:59:59
146,3.745,3.745,3.755,3.745,2649039.5,706500.0,2016-01-28,2016-01-28 23:59:59
147,3.745,3.76,3.76,3.745,1619867.0,431100.0,2016-01-29,2016-01-29 23:59:59
148,3.755,3.77,3.775,3.755,1583995.5,420600.0,2016-02-01,2016-02-01 23:59:59
149,3.77,3.765,3.77,3.76,1548885.5,411400.0,2016-02-02,2016-02-02 23:59:59
150,3.76,3.77,3.775,3.76,1760827.0,467400.0,2016-02-03,2016-02-03 23:59:59
151,3.76,3.765,3.78,3.755,1273148.0,338100.0,2016-02-04,2016-02-04 23:59:59
152,3.76,3.76,3.77,3.755,1570685.5,418100.0,2016-02-05,2016-02-05 23:59:59
153,3.77,3.755,3.775,3.75,1267146.5,337400.0,2016-02-08,2016-02-08 23:59:59
154,3.765,3.74,3.765,3.74,1850325.0,493900.0,2016-02-09,2016-02-09 23:59:59
155,3.755,3.74,3.755,3.735,1326570.5,354700.0,2016-02-10,2016-02-10 23:59:59
156,3.76,3.765,3.765,3.735,10023698.0,2672300.0,2016-02-11,2016-02-11 23:59:59
157,3.735,3.775,3.775,3.73,13348228.5,3552300.0,2016-02-12,2016-02-12 23:59:59
158,3.755,3.78,3.78,3.745,15126945.0,4023200.0,2016-02-15,2016-02-15 23:59:59
159,3.755,3.775,3.775,3.73,11582129.5,3079400.0,2016-02-16,2016-02-16 23:59:59
160,3.78,3.78,3.78,3.76,14445873.0,3824700.0,2016-02-17,2016-02-17 23:59:59
161,3.795,3.8,3.8,3.75,18634664.5,4923000.0,2016-02-18,2016-02-18 23:59:59
162,3.8,3.805,3.805,3.765,10054156.0,2660000.0,2016-02-19,2016-02-19 23:59:59
163,3.795,3.765,3.8,3.765,16988.5,4500.0,2016-02-20,2016-02-20 23:59:59
164,3.8,3.805,3.805,3.8,760.5,200.0,2016-02-22,2016-02-22 23:59:59
165,3.8,3.75,3.8,3.745,4938470.0,1316900.0,2016-02-24,2016-02-24 23:59:59
166,3.75,3.78,3.78,3.725,8366293.5,2224800.0,2016-02-25,2016-02-25 23:59:59
167,3.785,3.785,3.79,3.74,8581901.0,2274700.0,2016-02-26,2016-02-26 23:59:59
168,3.8,3.62,3.8,3.5,99368896.5,26995000.0,2016-02-29,2016-02-29 23:59:59
169,3.66,3.745,3.745,3.64,46093243.5,12535400.0,2016-03-01,2016-03-01 23:59:59
170,3.75,3.78,3.78,3.715,2062523.5,547700.0,2016-03-02,2016-03-02 23:59:59
171,3.78,3.785,3.795,3.775,5013412.5,1323000.0,2016-03-03,2016-03-03 23:59:59
172,3.78,3.805,3.825,3.775,6160175.0,1613400.0,2016-03-04,2016-03-04 23:59:59
173,3.815,3.8,3.815,3.78,59386.0,15700.0,2016-03-07,2016-03-07 23:59:59
174,3.805,3.84,3.84,3.805,5436562.0,1416400.0,2016-03-09,2016-03-09 23:59:59
175,3.845,3.825,3.85,3.825,6093945.5,1584800.0,2016-03-10,2016-03-10 23:59:59
176,3.855,3.85,3.855,3.8,4424504.5,1150900.0,2016-03-11,2016-03-11 23:59:59
177,3.81,3.86,3.86,3.8,4875851.0,1264500.0,2016-03-14,2016-03-14 23:59:59
178,3.86,3.87,3.87,3.855,7211321.0,1867900.0,2016-03-15,2016-03-15 23:59:59
179,3.84,3.85,3.865,3.84,3724240.0,964900.0,2016-03-16,2016-03-16 23:59:59
180,3.87,3.87,3.875,3.845,6822306.5,1764600.0,2016-03-17,2016-03-17 23:59:59
181,3.875,3.865,3.875,3.86,6572893.0,1700600.0,2016-03-18,2016-03-18 23:59:59
182,3.86,3.87,3.87,3.835,5474528.5,1418600.0,2016-03-21,2016-03-21 23:59:59
