,open,close,high,low,value,volume,begin,end
0,444.4,444.4,444.4,444.4,26664.0,60.0,2021-05-26,2021-05-26 23:59:59
1,458.1,444.4,458.1,283.05,52258.0,120.0,2021-05-27,2021-05-27 23:59:59
2,400.0,600.05,621.8,400.0,1158991.0,1900.0,2021-05-28,2021-05-28 23:59:59
3,540.05,425.1,839.65,418.0,18694884.0,35840.0,2021-05-31,2021-05-31 23:59:59
4,437.0,378.0,437.0,370.0,7425549.0,19300.0,2021-06-01,2021-06-01 23:59:59
5,382.0,376.1,382.0,372.0,2249354.0,5980.0,2021-06-02,2021-06-02 23:59:59
6,382.15,387.9,395.95,372.3,2297693.0,6040.0,2021-06-03,2021-06-03 23:59:59
7,391.1,397.75,406.5,377.85,3501555.0,8850.0,2021-06-04,2021-06-04 23:59:59
8,399.85,395.85,400.9,389.0,1277021.0,3220.0,2021-06-07,2021-06-07 23:59:59
9,400.3,376.25,400.3,370.0,5631640.5,14890.0,2021-06-08,2021-06-08 23:59:59
10,376.25,373.15,376.25,368.0,2513239.0,6780.0,2021-06-09,2021-06-09 23:59:59
11,375.4,378.0,390.0,372.3,4069361.0,10680.0,2021-06-10,2021-06-10 23:59:59
12,382.65,379.5,383.2,375.0,1292707.0,3420.0,2021-06-11,2021-06-11 23:59:59
13,383.25,380.0,393.0,374.95,6269399.5,16490.0,2021-06-14,2021-06-14 23:59:59
14,384.0,376.0,389.0,372.0,5793689.0,15310.0,2021-06-15,2021-06-15 23:59:59
15,372.0,376.15,382.95,368.05,5779490.0,15560.0,2021-06-16,2021-06-16 23:59:59
16,363.3,351.95,367.2,345.0,4971202.0,14040.0,2021-06-17,2021-06-17 23:59:59
17,350.05,348.25,354.85,340.1,954427.5,2760.0,2021-06-18,2021-06-18 23:59:59
18,346.05,342.0,354.9,339.25,1362357.5,3970.0,2021-06-21,2021-06-21 23:59:59
19,340.0,338.5,340.0,330.05,922752.5,2750.0,2021-06-22,2021-06-22 23:59:59
20,330.55,327.0,340.7,327.0,2520349.0,7600.0,2021-06-23,2021-06-23 23:59:59
21,329.95,323.45,341.0,317.55,3570423.0,10980.0,2021-06-24,2021-06-24 23:59:59
22,323.6,323.0,329.7,315.0,1954672.5,6150.0,2021-06-25,2021-06-25 23:59:59
23,328.7,323.1,332.95,322.75,861312.0,2630.0,2021-06-28,2021-06-28 23:59:59
24,320.25,324.1,329.0,320.0,538599.5,1670.0,2021-06-29,2021-06-29 23:59:59
25,330.45,326.55,330.45,320.4,207217.5,640.0,2021-06-30,2021-06-30 23:59:59
26,328.95,326.0,330.5,324.25,107978.0,330.0,2021-07-01,2021-07-01 23:59:59
27,325.5,323.0,325.5,319.9,905803.0,2820.0,2021-07-02,2021-07-02 23:59:59
28,319.4,322.95,322.95,319.25,131413.0,410.0,2021-07-05,2021-07-05 23:59:59
29,321.95,323.0,328.8,320.1,187905.5,580.0,2021-07-06,2021-07-06 23:59:59
30,319.55,323.8,327.9,319.55,207422.5,640.0,2021-07-07,2021-07-07 23:59:59
31,320.05,323.15,325.8,318.65,279525.0,870.0,2021-07-08,2021-07-08 23:59:59
32,325.1,320.05,325.1,319.0,157542.0,490.0,2021-07-09,2021-07-09 23:59:59
33,324.0,317.75,324.0,317.05,345083.5,1080.0,2021-07-12,2021-07-12 23:59:59
34,316.55,321.0,321.15,316.55,777328.5,2440.0,2021-07-13,2021-07-13 23:59:59
35,320.5,318.05,320.5,317.7,101925.0,320.0,2021-07-14,2021-07-14 23:59:59
36,320.95,316.0,320.95,313.6,1355209.0,4300.0,2021-07-15,2021-07-15 23:59:59
37,320.0,320.2,325.25,316.05,1215709.5,3790.0,2021-07-16,2021-07-16 23:59:59
38,319.45,317.0,325.0,314.2,526919.5,1650.0,2021-07-19,2021-07-19 23:59:59
39,314.5,325.0,325.0,314.5,1127802.5,3490.0,2021-07-20,2021-07-20 23:59:59
40,318.15,320.15,329.9,318.15,171470.5,530.0,2021-07-21,2021-07-21 23:59:59
41,323.3,320.1,326.0,320.0,139173.5,430.0,2021-07-22,2021-07-22 23:59:59
42,324.95,320.0,325.0,318.05,227680.0,710.0,2021-07-23,2021-07-23 23:59:59
43,318.55,321.95,324.45,318.55,141614.5,440.0,2021-07-26,2021-07-26 23:59:59
44,321.8,319.2,321.8,319.2,41603.0,130.0,2021-07-27,2021-07-27 23:59:59
45,320.0,320.35,325.0,318.6,90223.5,280.0,2021-07-28,2021-07-28 23:59:59
46,318.35,320.3,324.0,318.35,57917.5,180.0,2021-07-29,2021-07-29 23:59:59
47,320.0,319.65,322.45,318.05,156671.5,490.0,2021-07-30,2021-07-30 23:59:59
48,321.5,325.0,325.0,319.5,359970.0,1110.0,2021-08-02,2021-08-02 23:59:59
49,324.5,321.5,325.0,319.0,109485.0,340.0,2021-08-03,2021-08-03 23:59:59
50,320.0,322.0,322.0,320.0,80190.0,250.0,2021-08-04,2021-08-04 23:59:59
51,318.5,319.5,321.0,318.5,60765.0,190.0,2021-08-05,2021-08-05 23:59:59
52,324.0,321.0,325.0,313.5,399610.0,1250.0,2021-08-06,2021-08-06 23:59:59
53,314.5,322.0,324.0,314.5,302995.0,940.0,2021-08-09,2021-08-09 23:59:59
54,320.5,322.5,324.0,320.5,591670.0,1840.0,2021-08-10,2021-08-10 23:59:59
55,319.5,318.0,324.0,318.0,404400.0,1270.0,2021-08-11,2021-08-11 23:59:59
56,319.0,317.5,323.0,317.5,217200.0,680.0,2021-08-12,2021-08-12 23:59:59
57,318.5,323.0,323.5,318.0,208205.0,650.0,2021-08-13,2021-08-13 23:59:59
58,323.5,321.0,323.5,319.5,61340.0,190.0,2021-08-16,2021-08-16 23:59:59
59,320.5,321.0,321.0,319.5,57745.0,180.0,2021-08-17,2021-08-17 23:59:59
60,323.0,323.0,325.0,321.5,135900.0,420.0,2021-08-18,2021-08-18 23:59:59
61,320.5,318.5,325.0,317.0,771100.0,2410.0,2021-08-19,2021-08-19 23:59:59
