,open,close,high,low,value,volume,begin,end
0,65.53,62.2,65.53,62.2,10759.0,170.0,2014-06-09,2014-06-09 23:59:59
1,65.81,63.95,65.81,62.35,46138.8,720.0,2014-06-10,2014-06-10 23:59:59
2,64.7,64.31,64.7,64.31,7723.0,120.0,2014-06-11,2014-06-11 23:59:59
3,61.15,61.14,61.15,61.14,9171.1,150.0,2014-06-16,2014-06-16 23:59:59
4,61.5,61.81,63.41,60.99,15375.5,250.0,2014-06-17,2014-06-17 23:59:59
5,63.0,63.59,64.31,61.02,39144.8,620.0,2014-06-18,2014-06-18 23:59:59
6,62.99,64.1,65.01,62.99,38257.9,600.0,2014-06-19,2014-06-19 23:59:59
7,64.0,63.8,64.0,63.8,7659.0,120.0,2014-06-23,2014-06-23 23:59:59
8,64.51,68.0,69.0,64.49,128709.4,1890.0,2014-06-24,2014-06-24 23:59:59
9,63.04,63.0,63.04,63.0,5041.8,80.0,2014-06-25,2014-06-25 23:59:59
10,62.64,65.25,65.25,62.56,27400.8,430.0,2014-06-26,2014-06-26 23:59:59
11,67.99,67.99,67.99,67.99,679.9,10.0,2014-06-27,2014-06-27 23:59:59
12,66.61,66.5,67.98,65.29,17325.4,260.0,2014-06-30,2014-06-30 23:59:59
13,64.54,63.97,67.99,63.3,32536.3,500.0,2014-07-01,2014-07-01 23:59:59
14,68.0,65.9,68.0,63.5,53577.9,820.0,2014-07-02,2014-07-02 23:59:59
15,65.5,64.65,65.5,64.65,1301.5,20.0,2014-07-04,2014-07-04 23:59:59
16,64.29,62.99,65.61,60.22,91824.3,1440.0,2014-07-07,2014-07-07 23:59:59
17,64.01,63.8,64.64,62.0,96945.1,1530.0,2014-07-08,2014-07-08 23:59:59
18,63.02,65.0,74.72,63.02,70161.7,1060.0,2014-07-09,2014-07-09 23:59:59
19,68.5,65.0,72.54,65.0,49790.5,750.0,2014-07-10,2014-07-10 23:59:59
20,70.04,66.0,70.08,66.0,285461.7,4100.0,2014-07-11,2014-07-11 23:59:59
21,66.69,68.5,69.93,66.59,39152.4,580.0,2014-07-14,2014-07-14 23:59:59
22,67.61,66.52,67.61,66.52,6718.2,100.0,2014-07-15,2014-07-15 23:59:59
23,66.6,65.09,66.6,64.69,11864.6,180.0,2014-07-17,2014-07-17 23:59:59
