,open,close,high,low,value,volume,begin,end
0,1.752,2.5,2.5,1.752,6007.0,3000.0,2014-06-17,2014-06-17 23:59:59
1,3.0,1.521,3.0,1.521,4521.0,2000.0,2014-08-21,2014-08-21 20:29:56
2,2.5,2.6,2.6,2.5,23300.0,9000.0,2014-08-22,2014-08-22 20:29:56
3,2.63,2.65,2.65,2.63,18510.0,7000.0,2014-08-25,2014-08-25 20:29:51
4,1.63,2.05,2.05,1.62,16440.0,9000.0,2014-10-01,2014-10-01 23:59:59
5,2.35,2.45,2.45,2.35,4800.0,2000.0,2014-10-02,2014-10-02 23:59:59
6,1.61,2.0,2.0,1.6,14810.0,8000.0,2014-10-17,2014-10-17 23:59:59
7,2.5,2.5,2.5,2.5,2500.0,1000.0,2014-11-03,2014-11-03 23:59:59
8,2.5,2.5,2.5,2.5,2500.0,1000.0,2014-11-13,2014-11-13 23:59:59
9,2.5,2.5,2.5,2.5,5000.0,2000.0,2014-12-16,2014-12-16 23:59:59
10,1.62,2.0,2.0,1.62,14470.0,8000.0,2015-01-13,2015-01-13 23:59:59
11,2.0,2.0,2.0,2.0,2000.0,1000.0,2015-01-15,2015-01-15 23:59:59
12,1.64,1.64,1.64,1.64,4920.0,3000.0,2015-02-06,2015-02-06 23:59:59
13,2.3,2.5,2.5,2.3,12280.0,5000.0,2015-02-09,2015-02-09 23:59:59
14,2.5,2.5,2.5,2.5,5000.0,2000.0,2015-02-17,2015-02-17 23:59:59
15,2.49,2.5,2.5,2.49,42340.0,17000.0,2015-02-18,2015-02-18 23:59:59
16,2.41,2.41,2.41,2.41,31330.0,13000.0,2015-03-26,2015-03-26 23:59:59
17,2.45,2.45,2.45,2.45,9800.0,4000.0,2015-04-02,2015-04-02 23:59:59
18,2.4,2.45,2.5,2.4,53650.0,22000.0,2015-04-06,2015-04-06 23:59:59
19,2.5,2.5,2.5,2.5,32500.0,13000.0,2015-04-14,2015-04-14 23:59:59
20,2.7,2.99,2.99,2.7,58930.0,20000.0,2015-04-15,2015-04-15 23:59:59
21,2.99,2.99,2.99,2.99,5980.0,2000.0,2015-04-17,2015-04-17 23:59:59
22,2.5,2.5,2.5,2.5,2500.0,1000.0,2015-04-30,2015-04-30 23:59:59
23,1.6,2.0,2.0,1.6,5200.0,3000.0,2015-05-27,2015-05-27 23:59:59
24,2.44,2.44,2.44,2.44,2440.0,1000.0,2015-05-28,2015-05-28 23:59:59
25,2.2,2.2,2.2,2.2,2200.0,1000.0,2015-06-05,2015-06-05 23:59:59
26,2.99,2.99,2.99,2.99,2990.0,1000.0,2015-06-15,2015-06-15 23:59:59
27,2.3,2.3,2.3,2.3,2300.0,1000.0,2015-06-19,2015-06-19 23:59:59
28,2.01,2.0,2.01,2.0,10010.0,5000.0,2015-08-28,2015-08-28 23:59:59
29,2.5,2.5,2.5,2.5,2500.0,1000.0,2015-09-03,2015-09-03 23:59:59
30,2.99,2.99,2.99,2.99,2990.0,1000.0,2015-09-16,2015-09-16 23:59:59
31,2.99,2.99,2.99,2.99,2990.0,1000.0,2015-09-28,2015-09-28 23:59:59
32,3.11,3.11,3.11,3.11,3110.0,1000.0,2015-10-05,2015-10-05 23:59:59
33,3.2,3.5,3.5,3.2,10030.0,3000.0,2015-10-14,2015-10-14 23:59:59
34,3.51,3.51,3.51,3.51,3510.0,1000.0,2015-10-16,2015-10-16 23:59:59
35,3.5,3.5,3.5,3.5,3500.0,1000.0,2015-10-22,2015-10-22 23:59:59
36,3.51,3.51,3.51,3.51,3510.0,1000.0,2015-11-02,2015-11-02 23:59:59
37,3.51,3.5,3.51,3.5,7010.0,2000.0,2015-11-25,2015-11-25 23:59:59
38,3.6,3.6,3.6,3.6,3600.0,1000.0,2015-12-04,2015-12-04 23:59:59
39,3.51,3.51,3.51,3.51,3510.0,1000.0,2015-12-15,2015-12-15 23:59:59
40,3.56,3.56,3.56,3.56,3560.0,1000.0,2015-12-16,2015-12-16 23:59:59
41,3.65,3.65,3.65,3.65,18250.0,5000.0,2015-12-17,2015-12-17 23:59:59
42,3.65,3.65,3.65,3.65,36500.0,10000.0,2015-12-24,2015-12-24 23:59:59
43,3.7,3.7,3.7,3.7,3700.0,1000.0,2016-01-21,2016-01-21 23:59:59
44,3.74,3.74,3.74,3.74,3740.0,1000.0,2016-01-22,2016-01-22 23:59:59
45,4.0,4.0,4.0,4.0,4000.0,1000.0,2016-02-10,2016-02-10 23:59:59
46,4.02,4.02,4.02,4.02,4020.0,1000.0,2016-02-12,2016-02-12 23:59:59
47,4.07,4.07,4.07,4.07,4070.0,1000.0,2016-02-18,2016-02-18 23:59:59
48,4.05,4.05,4.05,4.05,4050.0,1000.0,2016-02-25,2016-02-25 23:59:59
49,3.86,4.05,4.05,3.86,16010.0,4000.0,2016-02-26,2016-02-26 23:59:59
50,4.05,4.05,4.05,4.05,4050.0,1000.0,2016-02-29,2016-02-29 23:59:59
51,4.05,4.05,4.05,4.05,4050.0,1000.0,2016-03-03,2016-03-03 23:59:59
52,4.05,4.05,4.05,4.05,4050.0,1000.0,2016-03-04,2016-03-04 23:59:59
