,open,close,high,low,value,volume,begin,end
0,199.04,160.0,210.0,155.0,52540174.0,297230.0,2023-09-25,2023-09-25 23:59:59
1,160.0,148.6,160.0,135.0,1552171114.6,10667720.0,2023-09-26,2023-09-26 23:59:59
2,145.1,150.04,154.0,145.0,421378923.4,2820490.0,2023-09-27,2023-09-27 23:59:59
3,150.4,200.5,205.34,149.16,5042425723.0,26933090.0,2023-09-28,2023-09-28 23:59:59
4,200.58,216.02,253.2,200.18,6953763831.2,29343240.0,2023-09-29,2023-09-29 23:59:59
5,218.04,207.92,233.6,203.0,1687837087.2,7718710.0,2023-10-02,2023-10-02 23:59:59
6,207.92,195.22,208.48,191.1,1170027386.0,5912130.0,2023-10-03,2023-10-03 23:59:59
7,196.0,195.0,196.0,189.12,456456386.8,2374920.0,2023-10-04,2023-10-04 23:59:59
8,198.5,198.62,210.3,196.0,1795024362.2,8795760.0,2023-10-05,2023-10-05 23:59:59
9,199.8,196.98,201.54,192.02,538320834.0,2744040.0,2023-10-06,2023-10-06 23:59:59
10,198.54,196.04,202.3,193.12,565182908.8,2870150.0,2023-10-09,2023-10-09 23:59:59
11,196.88,192.88,197.0,190.04,346474662.6,1796990.0,2023-10-10,2023-10-10 23:59:59
12,193.0,191.36,193.98,190.7,141824803.6,737940.0,2023-10-11,2023-10-11 23:59:59
13,190.5,184.4,190.56,184.02,378954844.6,2024440.0,2023-10-12,2023-10-12 23:59:59
14,185.1,187.02,192.58,181.0,554757382.2,2982860.0,2023-10-13,2023-10-13 23:59:59
15,187.98,180.04,191.44,179.16,676456640.8,3709180.0,2023-10-16,2023-10-16 23:59:59
16,179.98,171.0,179.98,170.34,542487304.2,3128070.0,2023-10-17,2023-10-17 23:59:59
17,171.8,167.9,171.8,165.8,290543078.8,1733200.0,2023-10-18,2023-10-18 23:59:59
18,165.9,173.7,179.72,165.82,870658451.2,4976620.0,2023-10-19,2023-10-19 23:59:59
19,178.78,170.5,180.0,169.16,480317340.4,2766980.0,2023-10-20,2023-10-20 23:59:59
20,178.88,176.6,180.0,170.88,1160620283.0,6600150.0,2023-10-23,2023-10-23 23:59:59
21,176.7,175.6,177.3,172.42,311402997.0,1785600.0,2023-10-24,2023-10-24 23:59:59
22,174.8,174.7,176.48,173.5,148153200.0,847430.0,2023-10-25,2023-10-25 23:59:59
23,174.9,168.78,175.2,167.08,258138811.4,1510910.0,2023-10-26,2023-10-26 23:59:59
24,166.7,164.14,171.12,163.14,275454619.4,1655300.0,2023-10-27,2023-10-27 23:59:59
25,164.5,160.76,164.92,160.2,361460769.0,2234980.0,2023-10-30,2023-10-30 23:59:59
26,161.0,162.42,162.64,152.02,526792330.6,3368080.0,2023-10-31,2023-10-31 23:59:59
27,164.0,157.6,164.0,153.46,422521370.8,2689270.0,2023-11-01,2023-11-01 23:59:59
28,158.8,155.88,160.3,154.0,201000433.6,1283630.0,2023-11-02,2023-11-02 23:59:59
29,156.1,154.0,157.6,152.16,156718453.0,1010910.0,2023-11-03,2023-11-03 23:59:59
30,154.52,160.6,161.94,154.5,508313928.6,3185760.0,2023-11-06,2023-11-06 23:59:59
31,160.1,158.48,163.64,156.0,421444728.0,2651330.0,2023-11-07,2023-11-07 23:59:59
32,158.8,156.3,158.8,155.02,128754593.6,822390.0,2023-11-08,2023-11-08 23:59:59
33,159.0,162.6,164.78,158.02,981145426.6,6093540.0,2023-11-09,2023-11-09 23:59:59
34,163.0,159.48,166.72,156.8,706664192.2,4372560.0,2023-11-10,2023-11-10 23:59:59
35,160.0,152.6,160.0,144.52,927331647.8,6077380.0,2023-11-13,2023-11-13 23:59:59
36,152.18,147.3,152.18,144.5,384589398.0,2615800.0,2023-11-14,2023-11-14 23:59:59
37,146.5,154.5,154.5,142.04,396852971.4,2631140.0,2023-11-15,2023-11-15 23:59:59
38,154.84,151.0,155.9,150.18,186558349.0,1226230.0,2023-11-16,2023-11-16 23:59:59
39,151.0,150.0,151.44,147.52,132561975.0,886230.0,2023-11-17,2023-11-17 23:59:59
40,151.48,160.98,161.0,150.54,470704453.0,3025210.0,2023-11-20,2023-11-20 23:59:59
41,162.0,160.48,162.5,156.0,321552193.4,2023320.0,2023-11-21,2023-11-21 23:59:59
42,160.48,159.7,160.74,157.1,136825309.2,862340.0,2023-11-22,2023-11-22 23:59:59
43,158.68,152.84,160.0,152.0,219015661.2,1403600.0,2023-11-23,2023-11-23 23:59:59
44,154.76,151.66,155.34,149.2,127207128.4,836300.0,2023-11-24,2023-11-24 23:59:59
45,152.12,149.24,153.26,148.5,132937242.8,885370.0,2023-11-27,2023-11-27 23:59:59
46,149.1,152.88,154.4,147.8,146518290.8,970660.0,2023-11-28,2023-11-28 23:59:59
47,148.0,144.66,150.88,143.5,315846772.4,2156940.0,2023-11-29,2023-11-29 23:59:59
48,144.9,143.76,147.9,142.12,160724952.4,1118510.0,2023-11-30,2023-11-30 23:59:59
49,143.76,141.3,144.46,141.12,78214099.6,548510.0,2023-12-01,2023-12-01 23:59:59
50,143.56,141.66,143.7,141.0,115448852.8,812510.0,2023-12-04,2023-12-04 23:59:59
51,141.9,141.32,142.9,140.2,99059375.4,703530.0,2023-12-05,2023-12-05 23:59:59
52,141.32,140.04,141.54,140.02,168095831.39999998,1197430.0,2023-12-06,2023-12-06 21:45:49
0,140.1,139.5,145.0,132.68,607954796.8,4390030.0,2023-12-07,2023-12-07 23:59:59
1,140.0,139.18,141.96,136.44,121949862.0,877420.0,2023-12-08,2023-12-08 23:59:59
