,open,close,high,low,value,volume,begin,end
0,70.0,105.13,105.14,70.0,5110201.6,55470.0,2021-01-18,2021-01-18 23:59:59
1,114.0,147.14,147.14,114.0,45319454.5,317130.0,2021-01-19,2021-01-19 23:59:59
2,150.0,138.82,150.0,133.0,23994191.6,169000.0,2021-01-20,2021-01-20 23:59:59
3,139.0,142.25,145.0,138.82,27192099.2,191550.0,2021-01-21,2021-01-21 23:59:59
4,145.9,131.5,145.9,128.2,5953060.6,45080.0,2021-01-22,2021-01-22 23:59:59
5,131.02,132.04,136.0,131.02,2545367.4,19220.0,2021-01-25,2021-01-25 23:59:59
6,130.2,123.14,130.77,122.0,6523521.7,52660.0,2021-01-26,2021-01-26 23:59:59
7,123.0,123.7,128.0,123.0,1276583.6,10300.0,2021-01-27,2021-01-27 23:59:59
8,124.0,121.0,124.88,116.9,4654264.8,38670.0,2021-01-28,2021-01-28 23:59:59
9,121.97,118.51,122.0,117.0,2076760.6,17460.0,2021-01-29,2021-01-29 23:59:59
10,118.0,116.0,119.0,115.45,2869224.8,24650.0,2021-02-01,2021-02-01 23:59:59
11,115.5,118.0,118.0,115.0,865642.9,7370.0,2021-02-02,2021-02-02 23:59:59
12,118.5,117.0,119.0,116.5,1034399.3,8800.0,2021-02-03,2021-02-03 23:59:59
13,118.84,117.01,120.0,116.34,1550398.7,13170.0,2021-02-04,2021-02-04 23:59:59
14,120.2,117.33,130.0,116.95,6121701.5,50450.0,2021-02-05,2021-02-05 23:59:59
15,119.13,121.01,123.98,116.8,5104016.8,41980.0,2021-02-08,2021-02-08 23:59:59
16,124.99,120.99,124.99,120.6,3541761.3,28850.0,2021-02-09,2021-02-09 23:59:59
17,120.03,118.6,122.99,118.0,3658377.1,30500.0,2021-02-10,2021-02-10 23:59:59
18,120.07,119.6,120.88,118.61,891381.5,7440.0,2021-02-11,2021-02-11 23:59:59
19,120.95,119.0,120.95,117.49,2443494.3,20660.0,2021-02-12,2021-02-12 23:59:59
20,121.97,119.55,121.97,119.3,1177509.1,9810.0,2021-02-15,2021-02-15 23:59:59
21,120.97,119.12,123.97,118.0,3776694.6,31720.0,2021-02-16,2021-02-16 23:59:59
22,118.51,118.0,119.15,117.52,1720274.5,14560.0,2021-02-17,2021-02-17 23:59:59
23,118.01,118.21,119.94,118.0,1326158.0,11200.0,2021-02-18,2021-02-18 23:59:59
24,120.97,117.1,120.98,115.5,1630830.4,13900.0,2021-02-19,2021-02-19 23:59:59
25,119.47,117.95,119.5,117.1,403013.3,3410.0,2021-02-20,2021-02-20 23:59:59
26,118.49,118.0,119.0,117.13,233619.8,1980.0,2021-02-22,2021-02-22 23:59:59
27,118.0,116.96,118.0,116.0,707942.6,6060.0,2021-02-24,2021-02-24 23:59:59
28,117.99,116.0,117.99,115.4,1529721.5,13100.0,2021-02-25,2021-02-25 23:59:59
29,115.2,114.9,116.46,114.85,1140415.7,9910.0,2021-02-26,2021-02-26 23:59:59
30,114.89,113.2,114.9,113.1,858427.0,7550.0,2021-03-01,2021-03-01 23:59:59
31,115.0,114.9,115.0,113.2,1487429.2,13030.0,2021-03-02,2021-03-02 23:59:59
32,115.0,113.5,115.0,113.35,758639.6,6680.0,2021-03-03,2021-03-03 23:59:59
33,114.9,115.4,115.92,112.51,2208785.6,19300.0,2021-03-04,2021-03-04 23:59:59
34,73.7,76.05,81.8,73.1,1085835.45,13885.0,2021-12-15,2021-12-15 23:59:59
35,78.0,77.1,81.0,76.6,446564.95,5670.0,2021-12-16,2021-12-16 23:59:59
36,77.1,78.5,81.8,77.1,376977.05,4734.0,2021-12-17,2021-12-17 23:59:59
37,78.5,77.5,79.45,76.0,103082.65,1329.0,2021-12-20,2021-12-20 23:59:59
38,79.9,77.4,79.9,77.4,69969.4,896.0,2021-12-21,2021-12-21 23:59:59
39,77.5,78.0,79.45,72.0,267919.0,3532.0,2021-12-22,2021-12-22 23:59:59
40,78.0,77.4,78.15,75.25,146151.75,1899.0,2021-12-23,2021-12-23 23:59:59
41,75.05,77.15,77.8,75.05,96188.5,1247.0,2021-12-24,2021-12-24 23:59:59
42,77.2,77.25,79.0,75.0,209473.05,2708.0,2021-12-27,2021-12-27 23:59:59
43,77.25,76.1,77.25,75.35,144897.85,1906.0,2021-12-28,2021-12-28 23:59:59
44,77.05,77.65,79.95,77.0,562453.4,7125.0,2021-12-29,2021-12-29 23:59:59
45,78.0,78.45,78.5,76.0,120065.6,1559.0,2021-12-30,2021-12-30 23:59:59
46,76.8,78.0,78.5,76.8,87442.4,1121.0,2022-01-03,2022-01-03 23:59:59
47,78.0,78.45,78.55,77.3,100125.15,1280.0,2022-01-04,2022-01-04 23:59:59
48,77.3,77.7,77.85,77.3,66544.05,858.0,2022-01-05,2022-01-05 23:59:59
49,77.65,76.8,78.5,76.8,98473.35,1276.0,2022-01-06,2022-01-06 23:59:59
50,76.8,77.7,78.55,76.7,152114.05,1952.0,2022-01-10,2022-01-10 23:59:59
51,78.0,78.5,78.55,77.35,166560.55,2137.0,2022-01-11,2022-01-11 23:59:59
52,78.5,78.25,78.5,77.25,67463.8,866.0,2022-01-12,2022-01-12 23:59:59
53,78.25,77.1,78.4,76.5,167116.5,2168.0,2022-01-13,2022-01-13 23:59:59
54,78.1,77.25,78.1,76.4,262193.35,3410.0,2022-01-14,2022-01-14 23:59:59
55,78.0,77.2,78.7,76.6,84188.1,1085.0,2022-01-17,2022-01-17 23:59:59
56,78.05,77.55,78.8,76.7,176555.95,2289.0,2022-01-18,2022-01-18 23:59:59
57,77.55,76.95,78.6,76.7,115631.3,1500.0,2022-01-19,2022-01-19 23:59:59
58,78.45,76.95,78.95,76.9,42765.2,555.0,2022-01-20,2022-01-20 23:59:59
59,78.85,77.5,78.85,76.9,494278.7,6424.0,2022-01-21,2022-01-21 23:59:59
60,77.95,76.0,77.95,75.0,909299.2,11928.0,2022-01-24,2022-01-24 23:59:59
61,76.85,77.0,77.8,74.05,544558.4,7100.0,2022-01-25,2022-01-25 23:59:59
62,77.0,77.75,78.0,74.1,575277.05,7425.0,2022-01-26,2022-01-26 23:59:59
63,77.95,78.05,78.3,76.35,1109258.9,14250.0,2022-01-27,2022-01-27 23:59:59
64,77.0,77.85,78.35,76.1,170823.35,2199.0,2022-01-28,2022-01-28 23:59:59
65,77.0,77.05,78.0,74.05,40369.5,523.0,2022-01-31,2022-01-31 23:59:59
66,77.05,77.45,78.0,76.2,64248.95,831.0,2022-02-01,2022-02-01 23:59:59
67,77.85,76.85,78.0,76.0,164375.7,2133.0,2022-02-02,2022-02-02 23:59:59
68,76.85,77.0,77.95,74.55,52929.05,689.0,2022-02-03,2022-02-03 23:59:59
69,77.0,77.75,77.9,76.05,100787.7,1305.0,2022-02-04,2022-02-04 23:59:59
70,77.7,77.3,77.95,76.05,131961.55,1710.0,2022-02-07,2022-02-07 23:59:59
71,78.0,77.75,78.0,76.0,39649.95,512.0,2022-02-08,2022-02-08 23:59:59
72,78.25,77.75,78.25,74.0,65637.15,848.0,2022-02-09,2022-02-09 23:59:59
73,77.8,77.15,78.15,77.1,37630.5,485.0,2022-02-10,2022-02-10 23:59:59
74,78.2,76.95,78.85,76.5,109444.9,1422.0,2022-02-11,2022-02-11 23:59:59
75,77.75,76.0,78.45,75.75,108548.1,1421.0,2022-02-14,2022-02-14 23:59:59
76,78.0,77.3,79.6,77.0,293883.6,3756.0,2022-02-15,2022-02-15 23:59:59
77,78.4,77.9,78.4,77.0,42003.35,541.0,2022-02-16,2022-02-16 23:59:59
78,77.9,77.2,78.7,76.15,27371.5,354.0,2022-02-17,2022-02-17 23:59:59
79,77.25,77.05,78.95,77.05,18181.35,235.0,2022-02-18,2022-02-18 23:59:59
80,79.0,77.1,79.0,74.7,154765.8,2022.0,2022-02-21,2022-02-21 23:59:59
81,76.9,75.95,77.5,72.0,103694.0,1375.0,2022-02-22,2022-02-22 23:59:59
82,76.0,65.0,77.45,49.0,526737.1,9393.0,2022-02-24,2022-02-24 23:59:59
83,77.5,62.0,80.0,45.0,295919.15,4649.0,2022-02-25,2022-02-25 23:59:59
84,68.0,77.5,82.5,68.0,1237977.8,16244.0,2022-03-28,2022-03-28 23:59:59
85,77.6,80.35,83.0,71.45,767079.65,9687.0,2022-03-29,2022-03-29 23:59:59
86,72.4,79.4,82.95,71.45,1182443.55,15140.0,2022-03-30,2022-03-30 23:59:59
87,83.0,79.7,83.0,72.95,1338441.3,16577.0,2022-03-31,2022-03-31 23:59:59
88,80.55,79.05,81.95,76.5,470620.1,6002.0,2022-04-01,2022-04-01 23:59:59
89,79.1,78.5,81.85,77.15,619447.85,7892.0,2022-04-04,2022-04-04 23:59:59
90,79.0,77.6,79.7,72.0,422169.05,5418.0,2022-04-05,2022-04-05 23:59:59
91,76.5,76.0,79.6,72.2,1313952.8,17202.0,2022-04-06,2022-04-06 23:59:59
92,77.5,76.95,78.0,75.0,266873.0,3497.0,2022-04-07,2022-04-07 23:59:59
93,77.1,75.95,77.1,74.0,57427.55,760.0,2022-04-08,2022-04-08 23:59:59
94,76.95,75.7,76.95,74.05,39739.4,528.0,2022-04-11,2022-04-11 23:59:59
95,76.45,73.35,76.45,72.5,331576.8,4513.0,2022-04-12,2022-04-12 23:59:59
96,72.0,72.1,73.5,71.5,303938.05,4191.0,2022-04-13,2022-04-13 23:59:59
97,74.0,68.7,74.0,68.1,519593.4,7481.0,2022-04-14,2022-04-14 23:59:59
98,74.45,67.9,74.45,62.5,633405.75,9443.0,2022-04-15,2022-04-15 23:59:59
99,68.5,63.9,68.5,63.05,212374.65,3285.0,2022-04-18,2022-04-18 23:59:59
100,65.35,62.1,68.5,55.0,1417089.95,22160.0,2022-04-19,2022-04-19 23:59:59
101,62.1,61.7,69.85,60.0,2013461.65,32252.0,2022-04-20,2022-04-20 23:59:59
102,63.1,60.0,64.8,59.0,690473.4500000002,11430.0,2022-04-21,2022-04-21 23:59:59
103,61.4,59.5,61.95,57.2,201021.3,3369.0,2022-04-22,2022-04-22 23:59:59
104,60.5,55.0,61.5,52.5,1891053.4,34813.0,2022-04-25,2022-04-25 23:59:59
105,54.25,47.9,55.9,46.5,30064906.45,610045.0,2022-04-26,2022-04-26 23:59:59
