,open,close,high,low,value,volume,begin,end
0,0.001107,0.001103,0.001169,0.001103,36504.0,33000000.0,2014-06-09,2014-06-09 23:59:59
1,0.001195,0.001099,0.001199,0.001099,72094.0,63000000.0,2014-06-10,2014-06-10 23:59:59
2,0.001102,0.001071,0.001103,0.001071,43398.0,40000000.0,2014-06-11,2014-06-11 23:59:59
3,0.00105,0.00109,0.001097,0.001002,10623.0,10000000.0,2014-06-16,2014-06-16 23:59:59
4,0.00109,0.00109,0.00109,0.00105,4320.0,4000000.0,2014-06-17,2014-06-17 23:59:59
5,0.00105,0.001051,0.001143,0.00105,23213.0,22000000.0,2014-06-18,2014-06-18 23:59:59
6,0.001045,0.001059,0.001092,0.001045,15747.0,15000000.0,2014-06-19,2014-06-19 23:59:59
7,0.00103,0.001022,0.001054,0.001022,20557.0,20000000.0,2014-06-20,2014-06-20 23:59:59
8,0.001003,0.001045,0.001045,0.001,56157.0,56000000.0,2014-06-23,2014-06-23 23:59:59
9,0.001001,0.001048,0.001048,0.000951,57976.0,59000000.0,2014-06-25,2014-06-25 23:59:59
10,0.001013,0.000997,0.001034,0.000955,12095.0,12000000.0,2014-07-01,2014-07-01 23:59:59
11,0.00097,0.000962,0.001044,0.000951,85810.0,88000000.0,2014-07-02,2014-07-02 23:59:59
12,0.001028,0.00102,0.001028,0.000976,290713.0,285000000.0,2014-07-03,2014-07-03 23:59:59
13,0.00102,0.00102,0.00102,0.00102,6120.0,6000000.0,2014-07-04,2014-07-04 23:59:59
14,0.001076,0.001088,0.001088,0.001076,16191.0,15000000.0,2014-07-07,2014-07-07 23:59:59
15,0.001002,0.001112,0.001175,0.001002,14473.0,13000000.0,2014-07-11,2014-07-11 23:59:59
16,0.001003,0.001003,0.001003,0.001003,1003.0,1000000.0,2014-07-15,2014-07-15 23:59:59
17,0.000916,0.001001,0.001001,0.000916,2833.0,3000000.0,2014-07-22,2014-07-22 23:59:59
18,0.001,0.001001,0.001001,0.001,2001.0,2000000.0,2014-07-25,2014-07-25 23:59:59
19,0.001,0.001,0.001,0.000923,16769.0,17000000.0,2014-07-28,2014-07-28 23:59:59
20,0.001078,0.001079,0.001079,0.001078,4315.0,4000000.0,2014-07-31,2014-07-31 23:59:59
21,0.000912,0.000946,0.000946,0.000912,2804.0,3000000.0,2014-08-01,2014-08-01 23:59:59
22,0.000941,0.000931,0.000941,0.000931,3752.0,4000000.0,2014-08-04,2014-08-04 23:59:59
23,0.000978,0.000977,0.000978,0.000977,3910.0,4000000.0,2014-08-06,2014-08-06 23:59:59
24,0.001032,0.001032,0.001032,0.001032,1032.0,1000000.0,2014-08-07,2014-08-07 23:59:59
25,0.000921,0.000951,0.000951,0.000919,6512.0,7000000.0,2014-08-12,2014-08-12 20:30:02
26,0.000923,0.000923,0.000923,0.000923,923.0,1000000.0,2014-08-13,2014-08-13 20:29:41
27,0.00091,0.000951,0.00097,0.00091,29871.0,31000000.0,2014-08-14,2014-08-14 20:29:56
28,0.000951,0.000903,0.000951,0.000903,25215.0,27000000.0,2014-08-15,2014-08-15 20:29:46
29,0.000949,0.000949,0.000949,0.000949,1898.0,2000000.0,2014-08-18,2014-08-18 20:29:46
30,0.000933,0.000947,0.000947,0.00093,19587.0,21000000.0,2014-08-19,2014-08-19 20:29:47
31,0.000931,0.0009,0.000955,0.000892,358997.0,398000000.0,2014-08-20,2014-08-20 20:29:42
32,0.000948,0.000925,0.000949,0.0009,15722.0,17000000.0,2014-08-21,2014-08-21 20:29:56
33,0.00092,0.000937,0.001001,0.0009,41007.0,44000000.0,2014-08-22,2014-08-22 20:29:56
34,0.000933,0.000933,0.000933,0.000933,24258.0,26000000.0,2014-08-25,2014-08-25 20:29:51
35,0.000977,0.000977,0.000977,0.000977,1954.0,2000000.0,2014-08-27,2014-08-27 23:59:59
36,0.000903,0.00092,0.000944,0.000903,7282.0,8000000.0,2014-08-28,2014-08-28 23:59:59
37,0.000933,0.000916,0.000933,0.000916,3715.0,4000000.0,2014-08-29,2014-08-29 23:59:59
38,0.000933,0.0009,0.000933,0.0009,2766.0,3000000.0,2014-09-01,2014-09-01 23:59:59
39,0.000901,0.000944,0.000945,0.0009,30702.0,33000000.0,2014-09-03,2014-09-03 23:59:59
40,0.000822,0.000808,0.000822,0.000808,9736.0,12000000.0,2014-09-08,2014-09-08 23:59:59
41,0.000949,0.000949,0.000949,0.000949,949.0,1000000.0,2014-09-09,2014-09-09 23:59:59
42,0.00095,0.00095,0.00095,0.00095,950.0,1000000.0,2014-09-10,2014-09-10 23:59:59
43,0.0009,0.000933,0.000933,0.0009,3633.0,4000000.0,2014-09-11,2014-09-11 23:59:59
44,0.000933,0.0009,0.000933,0.0009,16234.0,18000000.0,2014-09-12,2014-09-12 23:59:59
45,0.000932,0.0009,0.000933,0.0009,11130.0,12000000.0,2014-09-15,2014-09-15 23:59:59
46,0.000932,0.001099,0.001099,0.000932,29068.0,30000000.0,2014-09-16,2014-09-16 23:59:59
47,0.000911,0.00091,0.000911,0.00091,2731.0,3000000.0,2014-09-17,2014-09-17 23:59:59
48,0.000902,0.00095,0.001001,0.000902,3850.0,4000000.0,2014-09-19,2014-09-19 23:59:59
49,0.000902,0.000902,0.000902,0.000902,902.0,1000000.0,2014-09-23,2014-09-23 23:59:59
50,0.00099,0.00099,0.00099,0.00099,990.0,1000000.0,2014-09-24,2014-09-24 23:59:59
51,0.000901,0.000932,0.000944,0.000901,21728.0,24000000.0,2014-09-26,2014-09-26 23:59:59
52,0.000933,0.000933,0.000933,0.000933,933.0,1000000.0,2014-09-29,2014-09-29 23:59:59
53,0.00081,0.000855,0.00092,0.00081,9335.0,11000000.0,2014-10-01,2014-10-01 23:59:59
54,0.00086,0.00084,0.000925,0.000785,30515.0,36000000.0,2014-10-02,2014-10-02 23:59:59
55,0.000895,0.000895,0.000895,0.000895,8950.0,10000000.0,2014-10-03,2014-10-03 23:59:59
56,0.00091,0.00091,0.00091,0.00091,910.0,1000000.0,2014-10-07,2014-10-07 23:59:59
57,0.00079,0.00084,0.000895,0.00079,4315.0,5000000.0,2014-10-08,2014-10-08 23:59:59
58,0.000795,0.00081,0.00081,0.000795,1605.0,2000000.0,2014-10-09,2014-10-09 23:59:59
59,0.0009,0.0009,0.0009,0.000895,4495.0,5000000.0,2014-10-15,2014-10-15 23:59:59
60,0.00085,0.00092,0.00096,0.00085,20845.0,23000000.0,2014-10-20,2014-10-20 23:59:59
61,0.000995,0.001,0.001045,0.00093,92820.0,94000000.0,2014-10-21,2014-10-21 23:59:59
62,0.001095,0.00105,0.001095,0.00101,8465.0,8000000.0,2014-10-22,2014-10-22 23:59:59
63,0.001185,0.000915,0.001185,0.000915,3020.0,3000000.0,2014-10-27,2014-10-27 23:59:59
64,0.00109,0.001085,0.00109,0.000915,3090.0,3000000.0,2014-10-28,2014-10-28 23:59:59
65,0.000915,0.00096,0.00096,0.00076,109390.0,128000000.0,2014-10-29,2014-10-29 23:59:59
66,0.001035,0.00104,0.001045,0.000935,27980.0,27000000.0,2014-10-31,2014-10-31 23:59:59
