,open,close,high,low,value,volume,begin,end
0,0.5,0.5,0.5,0.5,5000.0,10000.0,2014-06-09,2014-06-09 23:59:59
1,0.5,0.5,0.5,0.5,95000.0,190000.0,2014-06-10,2014-06-10 23:59:59
2,0.5,0.51,0.51,0.5,160100.0,320000.0,2014-06-11,2014-06-11 23:59:59
3,0.5,0.5,0.5,0.5,50000.0,100000.0,2014-06-16,2014-06-16 23:59:59
4,0.5,0.5,0.5,0.5,25000.0,50000.0,2014-06-26,2014-06-26 23:59:59
5,0.5,0.5,0.5,0.5,5000.0,10000.0,2014-06-30,2014-06-30 23:59:59
6,0.5,0.5,0.5,0.5,25000.0,50000.0,2014-07-07,2014-07-07 23:59:59
7,0.5,0.502,0.502,0.5,30020.0,60000.0,2014-07-11,2014-07-11 23:59:59
8,0.3551,0.336,0.3551,0.3,603738.0,1930000.0,2014-09-01,2014-09-01 23:59:59
9,0.3496,0.3499,0.3499,0.3496,27980.0,80000.0,2014-09-02,2014-09-02 23:59:59
10,0.3014,0.3,0.33,0.3,30363.0,100000.0,2014-09-04,2014-09-04 23:59:59
11,0.31,0.31,0.31,0.31,3100.0,10000.0,2014-09-16,2014-09-16 23:59:59
12,0.3488,0.3488,0.3488,0.3488,3488.0,10000.0,2014-09-22,2014-09-22 23:59:59
13,0.32,0.345,0.345,0.32,6650.0,20000.0,2014-09-26,2014-09-26 23:59:59
14,0.35,0.35,0.35,0.35,3500.0,10000.0,2014-09-29,2014-09-29 23:59:59
15,0.301,0.35,0.35,0.301,13020.0,40000.0,2014-10-01,2014-10-01 23:59:59
16,0.3,0.33,0.34,0.255,30000.0,100000.0,2014-10-21,2014-10-21 23:59:59
17,0.32,0.31,0.32,0.31,6300.0,20000.0,2014-10-23,2014-10-23 23:59:59
18,0.29,0.27,0.29,0.27,22460.0,80000.0,2014-10-24,2014-10-24 23:59:59
19,0.315,0.315,0.315,0.315,6300.0,20000.0,2014-10-30,2014-10-30 23:59:59
20,0.345,0.345,0.345,0.345,3450.0,10000.0,2014-11-03,2014-11-03 23:59:59
21,0.305,0.3,0.31,0.3,55600.0,180000.0,2014-11-11,2014-11-11 23:59:59
22,0.315,0.315,0.315,0.315,103950.0,330000.0,2014-11-12,2014-11-12 23:59:59
23,0.32,0.32,0.32,0.32,3200.0,10000.0,2014-11-13,2014-11-13 23:59:59
24,0.271,0.311,0.311,0.271,5820.0,20000.0,2014-11-25,2014-11-25 23:59:59
25,0.32,0.345,0.345,0.32,23400.0,70000.0,2014-11-27,2014-11-27 23:59:59
26,0.32,0.35,0.35,0.32,29100.0,90000.0,2014-11-28,2014-11-28 23:59:59
27,0.35,0.35,0.35,0.35,3500.0,10000.0,2014-12-04,2014-12-04 23:59:59
28,0.33,0.35,0.35,0.33,10250.0,30000.0,2014-12-12,2014-12-12 23:59:59
29,0.35,0.35,0.35,0.35,3500.0,10000.0,2014-12-19,2014-12-19 23:59:59
30,0.39,0.39,0.39,0.39,19500.0,50000.0,2014-12-24,2014-12-24 23:59:59
31,0.35,0.343,0.35,0.343,58380.0,170000.0,2014-12-26,2014-12-26 23:59:59
32,0.4,0.4,0.4,0.4,4000.0,10000.0,2015-01-05,2015-01-05 23:59:59
33,0.35,0.35,0.35,0.35,3500.0,10000.0,2015-01-14,2015-01-14 23:59:59
34,0.4,0.4,0.4,0.4,4000.0,10000.0,2015-01-21,2015-01-21 23:59:59
35,0.37,0.43,0.43,0.37,54800.0,140000.0,2015-01-23,2015-01-23 23:59:59
36,0.31,0.399,0.399,0.31,50490.0,160000.0,2015-01-26,2015-01-26 23:59:59
37,0.311,0.369,0.369,0.311,13780.0,40000.0,2015-01-27,2015-01-27 23:59:59
