,open,close,high,low,value,volume,begin,end
0,0.05582,0.05588,0.05666,0.05558,3079851284.5,54840830000.0,2013-02-28,2013-02-28 23:59:59
1,0.0555,0.05571,0.05654,0.0552,2563480963.3,45831530000.0,2013-03-01,2013-03-01 23:59:59
2,0.0555,0.0555,0.05611,0.05515,1115203006.5,20083390000.0,2013-03-04,2013-03-04 23:59:59
3,0.0557,0.05623,0.05638,0.05559,1189220433.5,21278820000.0,2013-03-05,2013-03-05 23:59:59
4,0.0564,0.05581,0.05659,0.05578,1182811650.3,21052940000.0,2013-03-06,2013-03-06 23:59:59
5,0.05605,0.05581,0.05605,0.05562,570459147.4,10223480000.0,2013-03-07,2013-03-07 23:59:59
6,0.05606,0.05588,0.05647,0.0558,1095246802.4,19521490000.0,2013-03-11,2013-03-11 23:59:59
7,0.05606,0.0558,0.05606,0.0556,740655877.0,13277570000.0,2013-03-12,2013-03-12 23:59:59
8,0.05574,0.05575,0.05636,0.0556,1750609202.7,31305150000.0,2013-03-13,2013-03-13 23:59:59
9,0.05542,0.05541,0.05585,0.05506,1677544192.6,30213490000.0,2013-03-14,2013-03-14 23:59:59
10,0.05569,0.05535,0.05593,0.05528,1767437738.1,31761270000.0,2013-03-15,2013-03-15 23:59:59
11,0.0542,0.05237,0.05439,0.05206,4166185069.0,78394490000.0,2013-03-18,2013-03-18 23:59:59
12,0.0525,0.05148,0.05289,0.05115,2326739659.9,44822490000.0,2013-03-19,2013-03-19 23:59:59
13,0.05173,0.05238,0.05286,0.0516,2116704640.0,40530880000.0,2013-03-20,2013-03-20 23:59:59
14,0.05279,0.05168,0.05279,0.05158,1721620841.8,33048640000.0,2013-03-21,2013-03-21 23:59:59
15,0.0516,0.0512,0.05187,0.0512,1242646395.8,24192580000.0,2013-03-22,2013-03-22 23:59:59
16,0.05179,0.05029,0.052,0.05021,2194429053.8,42712620000.0,2013-03-25,2013-03-25 23:59:59
17,0.05041,0.049,0.0507,0.04834,3031098765.0,61235280000.0,2013-03-26,2013-03-26 23:59:59
18,0.04942,0.04825,0.04948,0.04754,2583056388.4,53513090000.0,2013-03-27,2013-03-27 23:59:59
19,0.0482,0.04975,0.04987,0.04765,2432923870.5,49692720000.0,2013-03-28,2013-03-28 23:59:59
20,0.05001,0.0497,0.05018,0.0495,567764373.7,11397920000.0,2013-03-29,2013-03-29 23:59:59
21,0.04962,0.0495,0.0499,0.04912,915787346.4,18491830000.0,2013-04-01,2013-04-01 23:59:59
22,0.04949,0.04923,0.0499,0.04888,1150439369.3,23344820000.0,2013-04-02,2013-04-02 23:59:59
23,0.04914,0.04839,0.04933,0.0482,1815284801.8,37262790000.0,2013-04-03,2013-04-03 23:59:59
24,0.04792,0.0473,0.04882,0.04725,2405183576.1,50030360000.0,2013-04-04,2013-04-04 23:59:59
25,0.04738,0.0468,0.04788,0.04601,3071938897.7,65833320000.0,2013-04-05,2013-04-05 23:59:59
26,0.04715,0.04788,0.04844,0.04658,3976414993.2,83494550000.0,2013-04-08,2013-04-08 23:59:59
27,0.04871,0.049,0.04942,0.0477,2163406976.6,44282590000.0,2013-04-09,2013-04-09 23:59:59
28,0.0492,0.04827,0.04975,0.04788,2081919906.5,42713560000.0,2013-04-10,2013-04-10 23:59:59
29,0.04846,0.04781,0.04846,0.04735,1827013994.3,38075140000.0,2013-04-11,2013-04-11 23:59:59
30,0.04775,0.0473,0.04793,0.04651,1440746418.7,30543730000.0,2013-04-12,2013-04-12 23:59:59
31,0.04678,0.04573,0.04696,0.0454,1163210468.3,25289910000.0,2013-04-15,2013-04-15 23:59:59
32,0.04543,0.04558,0.0465,0.0451,1572523618.0,34268020000.0,2013-04-16,2013-04-16 23:59:59
33,0.046,0.0438,0.046,0.04353,1523121602.0,34333100000.0,2013-04-17,2013-04-17 23:59:59
34,0.0438,0.04342,0.04483,0.04334,1375652430.4,31191470000.0,2013-04-18,2013-04-18 23:59:59
35,0.04382,0.0436,0.04414,0.04304,1392595036.2,31935080000.0,2013-04-19,2013-04-19 23:59:59
36,0.04388,0.04446,0.04525,0.04388,2473833825.5,55371650000.0,2013-04-22,2013-04-22 23:59:59
37,0.04455,0.04545,0.04571,0.0443,1467227172.0,32617580000.0,2013-04-23,2013-04-23 23:59:59
38,0.04584,0.0457,0.04736,0.04534,3427345546.8,73850880000.0,2013-04-24,2013-04-24 23:59:59
39,0.046,0.04575,0.04636,0.04471,4771094221.6,105484430000.0,2013-04-25,2013-04-25 23:59:59
40,0.04572,0.04529,0.0459,0.04455,3803012002.9,84170260000.0,2013-04-26,2013-04-26 23:59:59
41,0.0441,0.04705,0.0475,0.0435,4896357216.9,105883200000.0,2013-04-29,2013-04-29 23:59:59
42,0.0471,0.04929,0.0496,0.04695,7502261363.1,155119420000.0,2013-04-30,2013-04-30 23:59:59
43,0.04872,0.04834,0.04969,0.04803,1157344237.3,23716020000.0,2013-05-02,2013-05-02 23:59:59
44,0.04843,0.0489,0.04939,0.04843,1283419089.6,26261840000.0,2013-05-03,2013-05-03 23:59:59
45,0.04902,0.04946,0.0495,0.0484,1288621255.7,26225920000.0,2013-05-06,2013-05-06 23:59:59
46,0.04921,0.05051,0.05075,0.0489,2630623507.3,52839200000.0,2013-05-07,2013-05-07 23:59:59
47,0.05051,0.05091,0.0515,0.05039,2170573060.0,42663080000.0,2013-05-08,2013-05-08 23:59:59
48,0.05049,0.04961,0.05138,0.04954,612132946.9,12157160000.0,2013-05-10,2013-05-10 23:59:59
49,0.04951,0.04785,0.04974,0.0477,1901920916.9,39199140000.0,2013-05-13,2013-05-13 23:59:59
