,open,close,high,low,value,volume,begin,end
0,11.0,11.0,11.0,11.0,99000.0,9000.0,2014-06-16,2014-06-16 23:59:59
1,11.0,11.0,11.0,11.0,44000.0,4000.0,2014-06-20,2014-06-20 23:59:59
2,11.0,11.0,11.0,11.0,77000.0,7000.0,2014-07-01,2014-07-01 23:59:59
3,15.4,12.5,15.4,12.5,118360.0,9000.0,2014-07-16,2014-07-16 23:59:59
4,13.5,13.5,13.5,13.5,13500.0,1000.0,2014-07-17,2014-07-17 23:59:59
5,11.0,14.0,14.0,11.0,162990.0,14000.0,2014-07-30,2014-07-30 23:59:59
6,14.0,14.0,14.0,14.0,28000.0,2000.0,2014-08-01,2014-08-01 23:59:59
7,11.6,11.6,11.6,11.6,11600.0,1000.0,2014-08-07,2014-08-07 23:59:59
8,13.5,13.5,13.5,13.5,54000.0,4000.0,2014-08-13,2014-08-13 20:29:41
9,12.7,13.2,13.2,12.7,39000.0,3000.0,2014-08-22,2014-08-22 20:29:56
10,13.5,13.5,13.5,13.5,13500.0,1000.0,2014-09-15,2014-09-15 23:59:59
11,12.4,12.4,12.4,12.4,12400.0,1000.0,2014-09-29,2014-09-29 23:59:59
12,15.35,15.35,15.35,15.35,15350.0,1000.0,2014-10-09,2014-10-09 23:59:59
13,12.45,12.45,12.45,12.45,12450.0,1000.0,2014-10-10,2014-10-10 23:59:59
14,11.25,13.5,13.5,11.25,75800.0,6000.0,2014-10-23,2014-10-23 23:59:59
15,15.25,15.25,15.25,15.25,15250.0,1000.0,2014-11-24,2014-11-24 23:59:59
16,15.25,15.25,15.25,15.25,15250.0,1000.0,2014-11-25,2014-11-25 23:59:59
17,15.0,15.0,15.0,15.0,15000.0,1000.0,2014-12-15,2014-12-15 23:59:59
18,15.0,15.0,15.0,15.0,45000.0,3000.0,2014-12-18,2014-12-18 23:59:59
19,12.35,15.0,15.0,12.35,27350.0,2000.0,2014-12-19,2014-12-19 23:59:59
20,15.0,15.0,15.0,15.0,360000.0,24000.0,2014-12-24,2014-12-24 23:59:59
21,15.0,15.0,15.0,15.0,15000.0,1000.0,2014-12-25,2014-12-25 23:59:59
22,15.0,15.0,15.0,15.0,15000.0,1000.0,2014-12-26,2014-12-26 23:59:59
23,15.0,15.0,15.0,15.0,15000.0,1000.0,2015-01-21,2015-01-21 23:59:59
24,15.15,15.15,15.15,15.15,15150.0,1000.0,2015-02-10,2015-02-10 23:59:59
25,15.5,16.5,16.5,15.5,1120000.0,70000.0,2015-02-26,2015-02-26 23:59:59
26,16.5,16.5,16.5,16.5,1155000.0,70000.0,2015-03-02,2015-03-02 23:59:59
27,15.0,16.25,16.25,13.05,87650.0,6000.0,2015-03-04,2015-03-04 23:59:59
28,16.25,16.25,16.25,16.25,16250.0,1000.0,2015-03-12,2015-03-12 23:59:59
29,20.0,20.0,20.0,20.0,40000.0,2000.0,2015-03-20,2015-03-20 23:59:59
30,19.0,14.0,19.0,14.0,33000.0,2000.0,2015-03-23,2015-03-23 23:59:59
31,15.0,12.2,15.0,8.4,137650.0,12000.0,2015-03-25,2015-03-25 23:59:59
32,15.0,15.15,15.25,15.0,75700.0,5000.0,2015-03-26,2015-03-26 23:59:59
33,11.15,11.25,11.25,11.15,33650.0,3000.0,2015-03-30,2015-03-30 23:59:59
34,14.7,15.5,15.5,14.7,75050.0,5000.0,2015-04-01,2015-04-01 23:59:59
35,11.35,11.35,11.35,11.35,11350.0,1000.0,2015-04-20,2015-04-20 23:59:59
36,14.95,14.95,14.95,14.95,89700.0,6000.0,2015-04-28,2015-04-28 23:59:59
37,14.0,14.0,14.0,14.0,14000.0,1000.0,2015-04-29,2015-04-29 23:59:59
38,11.45,12.0,12.0,11.0,90800.0,8000.0,2015-05-26,2015-05-26 23:59:59
39,15.15,15.15,15.15,15.15,15150.0,1000.0,2015-05-28,2015-05-28 23:59:59
40,13.65,16.25,16.25,13.65,45050.0,3000.0,2015-06-03,2015-06-03 23:59:59
41,14.7,14.65,14.7,14.65,29350.0,2000.0,2015-06-04,2015-06-04 23:59:59
42,13.85,13.85,13.85,13.85,13850.0,1000.0,2015-06-16,2015-06-16 23:59:59
43,16.0,14.05,16.0,13.9,73950.0,5000.0,2015-06-17,2015-06-17 23:59:59
44,16.0,14.1,16.0,14.05,60150.0,4000.0,2015-06-18,2015-06-18 23:59:59
45,16.0,16.0,16.0,16.0,16000.0,1000.0,2015-06-19,2015-06-19 23:59:59
